"","filename","V1","V2","V3","V4"
"Doc01.txt","Doc01.txt",0.0591296121097446,0.407284768211921,0.166982024597919,0.366603595080416
"Doc02.txt","Doc02.txt",0.0454048140043764,0.390043763676149,0.105579868708972,0.458971553610503
"Doc03.txt","Doc03.txt",0.160759493670886,0.550632911392405,0.115189873417722,0.173417721518987
"Doc04.txt","Doc04.txt",0.0959821428571429,0.564732142857143,0.127232142857143,0.212053571428571
"Doc05.txt","Doc05.txt",0.0742894056847545,0.566537467700258,0.156976744186047,0.202196382428941
"Doc06.txt","Doc06.txt",0.0487122060470325,0.563829787234043,0.111422172452408,0.276035834266517
"Doc07.txt","Doc07.txt",0.100235849056604,0.609669811320755,0.0860849056603774,0.204009433962264
"Doc08.txt","Doc08.txt",0.113938053097345,0.611725663716814,0.105825958702065,0.168510324483776
"Doc09.txt","Doc09.txt",0.0573770491803279,0.658148505303761,0.16152362584378,0.122950819672131
"Doc10.txt","Doc10.txt",0.117594254937163,0.683123877917415,0.0637342908438061,0.135547576301616
"Doc11.txt","Doc11.txt",0.0812937062937063,0.0713869463869464,0.646561771561772,0.200757575757576
"Doc12.txt","Doc12.txt",0.0940233236151603,0.178571428571429,0.591107871720117,0.136297376093294
"Doc13.txt","Doc13.txt",0.169689119170984,0.0401554404145078,0.744818652849741,0.0453367875647668
"Doc14.txt","Doc14.txt",0.0625,0.0625,0.806766055045872,0.0682339449541284
"Doc15.txt","Doc15.txt",0.136567164179104,0.112686567164179,0.551492537313433,0.199253731343284
"Doc16.txt","Doc16.txt",0.129685157421289,0.134182908545727,0.603448275862069,0.132683658170915
"Doc17.txt","Doc17.txt",0.117507886435331,0.144321766561514,0.612776025236593,0.125394321766562
"Doc18.txt","Doc18.txt",0.589168490153173,0.0946389496717724,0.157002188183807,0.159190371991247
"Doc19.txt","Doc19.txt",0.713318777292576,0.0517467248908297,0.146506550218341,0.0884279475982533
"Doc20.txt","Doc20.txt",0.839472068753837,0.0352977286678944,0.0751995089011664,0.0500306936771025
"Doc21.txt","Doc21.txt",0.75509337860781,0.0708828522920204,0.0776740237691002,0.0963497453310696
"Doc22.txt","Doc22.txt",0.825852036575229,0.0328345802161263,0.0852036575228595,0.0561097256857855
"Doc23.txt","Doc23.txt",0.141047297297297,0.0785472972972973,0.166385135135135,0.61402027027027
"Doc24.txt","Doc24.txt",0.0814606741573034,0.186329588014981,0.148876404494382,0.583333333333333
"Doc25.txt","Doc25.txt",0.0724885844748858,0.16837899543379,0.188926940639269,0.570205479452055
"Doc26.txt","Doc26.txt",0.0699658703071672,0.180318543799772,0.250853242320819,0.498862343572241
"Doc27.txt","Doc27.txt",0.0528120713305898,0.128257887517147,0.157064471879287,0.661865569272977
"Doc28.txt","Doc28.txt",0.110738255033557,0.329977628635347,0.104026845637584,0.455257270693512
"Doc29.txt","Doc29.txt",0.0534433285509326,0.214849354375897,0.130200860832138,0.601506456241033
"Doc30.txt","Doc30.txt",0.0513754045307443,0.334546925566343,0.340210355987055,0.273867313915858
"Doc31.txt","Doc31.txt",0.0833333333333333,0.150749063670412,0.152621722846442,0.613295880149813
"Doc32.txt","Doc32.txt",0.0598341232227488,0.34063981042654,0.165284360189573,0.434241706161137
"Doc33.txt","Doc33.txt",0.0517993456924755,0.133587786259542,0.232824427480916,0.581788440567066
"Doc34.txt","Doc34.txt",0.0614973262032086,0.213368983957219,0.251871657754011,0.473262032085562
