"filename","V1","V2","V3","V4"
"Doc01.txt",0.0375,0.4185,0.1505,0.3935
"Doc02.txt",0.0348571428571429,0.398285714285714,0.0862857142857143,0.480571428571429
"Doc03.txt",0.129242819843342,0.60443864229765,0.108355091383812,0.157963446475196
"Doc04.txt",0.0717592592592593,0.664351851851852,0.118055555555556,0.145833333333333
"Doc05.txt",0.0558475689881735,0.606438896189225,0.132063074901445,0.205650459921156
"Doc06.txt",0.0414772727272727,0.551704545454546,0.105113636363636,0.301704545454545
"Doc07.txt",0.0675675675675676,0.600737100737101,0.0798525798525798,0.251842751842752
"Doc08.txt",0.0812356979405034,0.669336384439359,0.102593440122044,0.146834477498093
"Doc09.txt",0.0340236686390533,0.682938856015779,0.141518737672584,0.141518737672584
"Doc10.txt",0.158921933085502,0.675650557620818,0.0585501858736059,0.106877323420074
"Doc11.txt",0.0862369337979094,0.0740418118466899,0.669279907084785,0.170441347270616
"Doc12.txt",0.0732946298984035,0.177793904208999,0.585631349782293,0.163280116110305
"Doc13.txt",0.163513513513514,0.0527027027027027,0.733783783783784,0.05
"Doc14.txt",0.0804668304668305,0.0694103194103194,0.795454545454545,0.0546683046683047
"Doc15.txt",0.103576751117735,0.0961251862891207,0.586438152011923,0.213859910581222
"Doc16.txt",0.104685212298682,0.153001464128843,0.620058565153733,0.122254758418741
"Doc17.txt",0.103361344537815,0.120168067226891,0.63781512605042,0.138655462184874
"Doc18.txt",0.505714285714286,0.176571428571429,0.118285714285714,0.199428571428571
"Doc19.txt",0.743656015037594,0.0603853383458647,0.106437969924812,0.0895206766917293
"Doc20.txt",0.841820496499045,0.0404201145767027,0.0754296626352642,0.0423297262889879
"Doc21.txt",0.788599640933573,0.0632854578096948,0.0731597845601436,0.0749551166965889
"Doc22.txt",0.858403361344538,0.0197478991596639,0.084453781512605,0.0373949579831933
"Doc23.txt",0.144991212653779,0.12390158172232,0.14323374340949,0.587873462214411
"Doc24.txt",0.0849609375,0.1982421875,0.1474609375,0.5693359375
"Doc25.txt",0.0850178359096314,0.152794292508918,0.205112960760999,0.557074910820452
"Doc26.txt",0.0743651753325272,0.207376058041112,0.192865779927449,0.525392986698912
"Doc27.txt",0.0508595988538682,0.154011461318052,0.161174785100287,0.633954154727794
"Doc28.txt",0.0916473317865429,0.284222737819026,0.110208816705336,0.513921113689095
"Doc29.txt",0.0471264367816092,0.1727969348659,0.141379310344828,0.638697318007663
"Doc30.txt",0.0317527519051651,0.353513971210838,0.29424216765453,0.320491109229467
"Doc31.txt",0.0959302325581395,0.13468992248062,0.175387596899225,0.593992248062015
"Doc32.txt",0.0541718555417186,0.306973848069738,0.171232876712329,0.467621419676214
"Doc33.txt",0.0540380047505938,0.219121140142518,0.267814726840855,0.459026128266033
"Doc34.txt",0.0478547854785479,0.242574257425743,0.278877887788779,0.430693069306931
