"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",0,0,0,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0.381,0,0.367,0,0,0.441,0.312,0,0,0.299,0,0,0,0.341,0,0,0,0.329,0,0,0,0,0,0,0,0.296,0
"4",0.305,0,0.381,0,0.426,0,0.329,0.494,0.58,0.557,0.299,0.375,0.369,0.309,0.389,0.494,0.349,0.397,0.358,0.355,0.55,0,0,0,0,0.427,0.413,0.405,0.455,0.348
"5",0,0,0,0.426,0,0,0,0,0.361,0.47,0,0,0,0,0.331,0.309,0,0,0,0,0.306,0,0,0,0,0.333,0.293,0,0.35,0
"6",0,0,0.367,0,0,0,0,0,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0.329,0,0,0,0,0.469,0,0,0,0,0,0,0,0,0,0,0,0.312,0,0,0,0,0,0.306,0,0.312,0
"8",0,0,0,0.494,0,0,0,0,0.381,0,0,0,0,0,0.31,0.363,0,0,0,0,0.422,0,0,0,0,0.375,0,0,0.298,0
"9",0,0,0.441,0.58,0.361,0.372,0.469,0.381,0,0.585,0.344,0.349,0.328,0.377,0.299,0.382,0.353,0.391,0.373,0.355,0.438,0.321,0,0.357,0,0.377,0.441,0.348,0.416,0.387
"10",0,0,0.312,0.557,0.47,0,0,0,0.585,0,0,0.342,0,0,0,0.316,0,0.335,0.388,0.296,0.34,0.36,0,0.327,0,0.332,0.352,0,0.364,0
"11",0,0,0,0.299,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0.304,0,0,0,0,0,0,0,0.31,0,0
"12",0,0,0,0.375,0,0,0,0,0.349,0.342,0,0,0.392,0.315,0,0,0,0.357,0.413,0,0,0,0,0,0.386,0,0,0,0,0
"13",0,0,0.299,0.369,0,0,0,0,0.328,0,0,0.392,0,0,0,0,0,0.331,0.312,0,0,0,0,0,0.367,0,0,0,0,0
"14",0,0,0,0.309,0,0,0,0,0.377,0,0,0.315,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0.389,0.331,0,0,0.31,0.299,0,0,0,0,0,0,0.455,0,0,0,0,0.311,0,0,0,0,0,0.303,0,0,0
"16",0,0,0,0.494,0.309,0,0,0.363,0.382,0.316,0,0,0,0,0.455,0,0.295,0,0,0,0.341,0,0,0,0,0,0.299,0,0,0
"17",0,0,0.341,0.349,0,0,0,0,0.353,0,0,0,0,0,0,0.295,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
"18",0,0,0,0.397,0,0,0,0,0.391,0.335,0,0.357,0.331,0,0,0,0,0,0.587,0,0.294,0,0,0.344,0,0,0,0,0,0
"19",0,0,0,0.358,0,0,0,0,0.373,0.388,0,0.413,0.312,0.316,0,0,0,0.587,0,0,0,0.324,0,0.327,0.302,0,0,0,0,0
"20",0.513,0,0,0.355,0,0,0,0,0.355,0.296,0.304,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0.317,0,0,0,0
"21",0,0,0.329,0.55,0.306,0,0.312,0.422,0.438,0.34,0,0,0,0,0.311,0.341,0.3,0.294,0,0.316,0,0,0,0,0,0.39,0.341,0.305,0.575,0
"22",0,0,0,0,0,0,0,0,0.321,0.36,0,0,0,0,0,0,0,0,0.324,0,0,0,0,0.381,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0.357,0.327,0,0,0,0,0,0,0,0.344,0.327,0,0,0.381,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0.386,0.367,0,0,0,0,0,0.302,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0.427,0.333,0,0,0.375,0.377,0.332,0,0,0,0,0,0,0,0,0,0.317,0.39,0,0,0,0,0,0.318,0.294,0.383,0
"27",0,0,0,0.413,0.293,0,0.306,0,0.441,0.352,0,0,0,0,0.303,0.299,0,0,0,0,0.341,0,0,0,0,0.318,0,0.302,0,0
"28",0,0,0,0.405,0,0,0,0,0.348,0,0.31,0,0,0,0,0,0,0,0,0,0.305,0,0,0,0,0.294,0.302,0,0,0
"29",0,0,0.296,0.455,0.35,0,0.312,0.298,0.416,0.364,0,0,0,0,0,0,0,0,0,0,0.575,0,0,0,0,0.383,0,0,0,0
"30",0,0,0,0.348,0,0,0,0,0.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
