"","V1","V2","V3","V4","V5","V6"
"1",0.0709942775393419,0.0559728183118741,0.0457796852646638,0.0844062947067239,0.0479256080114449,0.694921316165951
"2",0.194092827004219,0.143459915611814,0.194092827004219,0.118143459915612,0.143459915611814,0.206751054852321
"3",0.506286415210058,0.0564244096902791,0.0803434529285495,0.0969027905550445,0.129101502606562,0.130941429009506
"4",0.426858513189448,0.106437926581811,0.162885076554141,0.0981368751152924,0.083194982475558,0.122486626083748
"5",0.089964451736396,0.0374624008750342,0.0587913590374624,0.68758545255674,0.0592015313098168,0.0669948044845502
"6",0.140062597809077,0.144757433489828,0.047339593114241,0.0907668231611894,0.528560250391236,0.0485133020344288
"7",0.128082736674622,0.180588703261734,0.40612569610183,0.0731901352426412,0.0922832140015911,0.119729514717582
"8",0.543926019335855,0.0735603194619588,0.0634720470786045,0.0798654897015553,0.112652374947457,0.126523749474569
"9",0.277644423107697,0.113458153304529,0.446151384221475,0.0356857097135542,0.0208033285325652,0.106257001120179
"10",0.0936799184505606,0.027013251783894,0.585423037716616,0.207441386340469,0.0355759429153925,0.0508664627930683
"11",0.118782479584261,0.223459539717892,0.0764662212323682,0.0408314773570898,0.0541945063103192,0.48626577579807
"12",0.0941402497598463,0.121517771373679,0.161863592699328,0.223823246878002,0.259846301633045,0.1388088376561
"13",0.181893004115226,0.0991769547325103,0.094238683127572,0.0831275720164609,0.453497942386831,0.0880658436213992
"14",0.127867746288799,0.499325236167341,0.0711875843454791,0.0691632928475034,0.127867746288799,0.104588394062078
"15",0.118765697883028,0.325439540724794,0.0229637603157517,0.14567635450305,0.274847506279153,0.112307140294223
"16",0.195689444036248,0.0406563801126623,0.0347783492530002,0.0678422728385991,0.512368356600539,0.148665197158952
"17",0.540017590149516,0.0532102022867194,0.0532102022867194,0.0716798592788039,0.150835532102023,0.131046613896218
"18",0.129793510324484,0.0822271386430678,0.242625368731563,0.0390855457227139,0.389749262536873,0.116519174041298
"19",0.0787607316162747,0.11123553564763,0.340798805524449,0.0530048525569242,0.300485255692423,0.115714818962299
"20",0.14773055796473,0.132986412257878,0.0740098294304712,0.0852847643827696,0.0540618675917895,0.505926568372362
"21",0.520114942528736,0.156814449917898,0.0755336617405583,0.0619868637110016,0.0989326765188834,0.0866174055829228
"22",0.0971055088702147,0.112511671335201,0.594304388422035,0.0634920634920635,0.0662931839402428,0.0662931839402428
"23",0.127340823970037,0.138576779026217,0.239700374531835,0.239700374531835,0.104868913857678,0.149812734082397
"24",0.0696933492632417,0.104340900039825,0.579848665870171,0.0876144962166467,0.0398247710075667,0.118677817602549
"25",0.145026575550494,0.0436598329536826,0.0801063022019742,0.0584662110858011,0.540242976461655,0.132498101746393
"26",0.50210970464135,0.0717299578059072,0.0498657460682777,0.100498657460683,0.064825469888761,0.210970464135021
"27",0.0685451638689049,0.654876099120703,0.0607513988808953,0.0499600319744205,0.0523581135091926,0.113509192645883
"28",0.0918259023354565,0.0488322717622081,0.0671443736730361,0.0408704883227176,0.0488322717622081,0.702494692144374
"29",0.441983122362869,0.0891350210970464,0.0970464135021097,0.212552742616034,0.0701476793248945,0.0891350210970464
"30",0.127037037037037,0.539259259259259,0.0837037037037037,0.0859259259259259,0.0781481481481481,0.0859259259259259
