2018,,Temp. (°C),,,Dew Point (°C),,,Humidity (%),,,Sea Level Press. (hPa),,,Visibility (km),,,Wind (km/h),,,Precip. (mm),Events
Apr,Date,temp.high,temp.avg,temp.low,dew_point.high,dew_point.avg,dew_point.low,humidity.high,humidity.avg,humidity.low,sea_level_press.high,sea_level_press.avg,sea_level_press.low,visbility.high,visibility.avg,visibility.low,high,avg,gust.high,precip.sum,events
1,1/04/2018,29,24,20,20,19,18,94,72,46,1017,1015,1012,26,14,10,35,14,-,0,
2,2/04/2018,32,26,20,21,19,16,94,74,30,1020,1014,1011,26,12,4,45,13,61,3.05,"Rain , Thunderstorm"
3,3/04/2018,24,22,20,19,16,14,83,67,48,1023,1021,1019,31,12,10,32,23,-,0.25,
4,4/04/2018,25,22,20,19,17,15,88,69,46,1022,1020,1018,31,13,10,21,14,-,0,
5,5/04/2018,28,23,18,18,18,16,88,68,41,1018,1016,1014,31,14,10,32,13,-,0,
6,6/04/2018,25,22,19,20,19,17,94,80,60,1020,1017,1014,23,11,9,24,14,-,0,
7,7/04/2018,28,24,19,20,18,16,88,69,41,1021,1018,1015,31,12,10,35,14,-,0,
8,8/04/2018,27,23,19,21,19,18,94,76,56,1021,1018,1015,26,14,10,24,14,-,0,
9,9/04/2018,36,28,19,20,15,3,88,60,10,1022,1016,1012,31,15,10,39,16,52,0,
10,10/04/2018,24,21,19,16,15,14,78,63,45,1023,1021,1020,31,12,10,26,18,-,0,Rain
11,11/04/2018,28,24,20,19,17,15,78,63,37,1022,1019,1017,31,15,10,34,16,-,0,
12,12/04/2018,35,27,19,19,14,10,88,48,15,1019,1014,1010,31,23,14,27,13,-,0,
13,13/04/2018,34,29,23,12,9,7,41,28,13,1012,1010,1007,31,15,8,32,21,-,0,
14,14/04/2018,31,27,23,13,8,1,50,29,10,1007,1002,998,31,14,10,58,26,76,0,Rain
15,15/04/2018,25,21,18,9,6,4,49,32,17,1011,1005,1001,26,15,5,58,34,80,0,
16,16/04/2018,31,24,18,11,9,8,56,38,19,1015,1011,1009,31,28,23,34,16,50,0,
17,17/04/2018,21,19,18,16,13,10,88,66,40,1026,1021,1015,26,12,10,32,19,-,0,Rain
18,18/04/2018,22,20,18,14,11,8,68,54,29,1026,1024,1022,31,14,10,23,13,-,0,
19,19/04/2018,27,21,15,17,13,11,77,61,34,1022,1020,1017,31,27,18,23,11,-,0,
20,20/04/2018,22,19,16,19,17,14,94,80,60,1022,1020,1018,26,11,6,27,14,-,0,
21,21/04/2018,22,19,17,18,16,14,94,78,60,1024,1022,1021,31,12,10,24,18,-,0,
22,22/04/2018,23,19,15,16,14,13,88,70,55,1024,1022,1021,31,12,10,23,14,-,0,
23,23/04/2018,24,19,15,16,14,13,88,70,44,1021,1020,1018,31,13,10,23,10,-,0,
24,24/04/2018,23,19,16,17,15,12,88,74,49,1020,1018,1016,31,13,10,21,11,-,0,
25,25/04/2018,23,19,14,19,17,12,94,82,67,1017,1015,1013,31,12,10,29,13,53,0,
26,26/04/2018,22,19,17,18,16,13,94,76,58,1020,1015,1012,26,11,8,42,18,60,0,
27,27/04/2018,20,18,16,16,13,11,90,70,50,1025,1023,1019,26,11,6,45,34,60,4.06,Rain
28,28/04/2018,19,17,14,16,14,13,100,84,66,1026,1024,1023,31,11,4,35,26,48,0.51,Rain
29,29/04/2018,20,17,13,15,13,12,94,76,56,1026,1024,1023,31,12,4,42,26,61,10.92,"Rain , Thunderstorm"
30,30/04/2018,19,16,12,15,13,10,94,79,62,1028,1026,1024,31,13,6,34,19,35,0,Rain
